 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b = 20.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   2.06  1.88  2.37    70  4.8061D-01  4.8061D-01 -8.7350D-11  7.8916D-01  7.8916D-01  1.5315D-11
   2.06  1.88  2.37    80  5.2945D-01  5.2945D-01 -8.5852D-11  8.8336D-01  8.8336D-01  1.9672D-11
   2.06  1.88  2.37    90  5.5105D-01  5.5105D-01 -1.3075D-10  9.2372D-01  9.2372D-01  2.1431D-11
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   3.43  3.14  3.96     0  8.6799D-01  8.6799D-01  1.5936D-09
   3.43  3.14  3.96    10  8.7543D-01  8.7543D-01  8.6694D-10  8.6623D-01  8.6623D-01  1.0770D-11
   3.43  3.14  3.96    20  9.0681D-01  9.0681D-01  1.0854D-11  8.8437D-01  8.8437D-01  1.7338D-12
   3.43  3.14  3.96    30  9.8328D-01  9.8328D-01 -4.3272D-10  9.7432D-01  9.7432D-01 -4.6968D-12
   3.43  3.14  3.96    40  1.1257D+00  1.1257D+00 -3.7994D-10  1.1795D+00  1.1795D+00 -4.9316D-12
   3.43  3.14  3.96    50  1.3453D+00  1.3453D+00 -1.9466D-10  1.5118D+00  1.5118D+00  8.1934D-14
   3.43  3.14  3.96    60  1.6394D+00  1.6394D+00 -1.0886D-10  1.9510D+00  1.9510D+00  7.8444D-12
   3.43  3.14  3.96    70  1.9803D+00  1.9803D+00 -2.6228D-11  2.4443D+00  2.4443D+00  1.6157D-11
   3.43  3.14  3.96    80  2.2874D+00  2.2874D+00 -3.4607D-11  2.8764D+00  2.8764D+00  2.2920D-11
   3.43  3.14  3.96    90  2.4185D+00  2.4185D+00 -1.1009D-10  3.0582D+00  3.0582D+00  2.5636D-11
 ================================================================================================
 SPHEROID: Oblate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   3.28  3.00  3.78     0  7.8691D-01  7.8691D-01  6.3183D-10
   3.28  3.00  3.78    10  7.9797D-01  7.9797D-01  3.0423D-10  7.8742D-01  7.8742D-01  1.2442D-11
   3.28  3.00  3.78    20  8.3621D-01  8.3621D-01  3.8647D-11  8.1088D-01  8.1088D-01  3.5074D-12
   3.28  3.00  3.78    30  9.1428D-01  9.1428D-01 -1.2815D-10  9.0460D-01  9.0460D-01 -3.9487D-12
   3.28  3.00  3.78    40  1.0465D+00  1.0465D+00 -1.3288D-10  1.1053D+00  1.1053D+00 -6.1642D-12
   3.28  3.00  3.78    50  1.2423D+00  1.2423D+00 -8.0433D-11  1.4194D+00  1.4194D+00 -3.3529D-12
   3.28  3.00  3.78    60  1.5008D+00  1.5008D+00 -5.4379D-11  1.8260D+00  1.8260D+00  2.3663D-12
   3.28  3.00  3.78    70  1.7997D+00  1.7997D+00 -2.3699D-11  2.2773D+00  2.2773D+00  8.8387D-12
   3.28  3.00  3.78    80  2.0692D+00  2.0692D+00 -2.7123D-11  2.6705D+00  2.6705D+00  1.4121D-11
   3.28  3.00  3.78    90  2.1844D+00  2.1844D+00 -5.4781D-11  2.8357D+00  2.8357D+00  1.6233D-11
 ================================================================================================
 SPHEROID: Prolate
 Refractive index:  1.3300  0.0000 i     Lambda=10.000 mkm     a/b =  2.000
 ================================================================================================
    c    x_V 2*pi*a/w alpha  Qext(TM)    Qsca(TM)    Qabs(TM)    Qext(TE)    Qsca(TE)    Qabs(TE)
 ================================================================================================
   4.13  3.00  4.77     0  3.8024D+00  3.8024D+00 -4.0296D-10
   4.13  3.00  4.77    10  3.5904D+00  3.5904D+00 -7.6041D-11  3.5724D+00  3.5724D+00 -2.2930D-08
   4.13  3.00  4.77    20  3.0940D+00  3.0940D+00  3.5741D-11  3.0265D+00  3.0265D+00 -1.3028D-08
   4.13  3.00  4.77    30  2.5435D+00  2.5435D+00  3.0698D-11  2.4083D+00  2.4083D+00 -2.4299D-09
   4.13  3.00  4.77    40  2.0693D+00  2.0693D+00 -1.0361D-11  1.8701D+00  1.8701D+00  3.4892D-09
   4.13  3.00  4.77    50  1.7124D+00  1.7124D+00 -2.8728D-11  1.4770D+00  1.4770D+00  2.9832D-09
   4.13  3.00  4.77    60  1.4737D+00  1.4737D+00 -1.0173D-11  1.2351D+00  1.2351D+00  6.8540D-10
   4.13  3.00  4.77    70  1.3381D+00  1.3381D+00  6.5501D-12  1.1068D+00  1.1068D+00  1.0099D-09
   4.13  3.00  4.77    80  1.2793D+00  1.2793D+00 -1.4666D-12  1.0447D+00  1.0447D+00  1.7106D-09
   4.13  3.00  4.77    90  1.2650D+00  1.2650D+00 -1.0040D-11  1.0251D+00  1.0251D+00  1.4555D-09
 ================================================================================================
 SPHEROID: Oblate
